,Chunk,Label
0,beginning get tired sitting sister bank nothing twice peeped book sister reading pictures conversations use book thought without pictures conversations,0
1,considering mind well could hot day made feel sleepy stupid whether pleasure making chain would worth trouble getting picking suddenly white rabbit pink eyes ran close,0
2,nothing remarkable think much way hear rabbit say oh dear oh dear shall late thought afterwards occurred ought wondered time seemed quite natural rabbit actually took watch waistcoat pocket looked hurried started feet flashed across mind never seen rabbit either waistcoat pocket watch take burning curiosity ran across field fortunately time see pop large rabbit hole hedge,0
3,another moment went never considering world get,0
4,rabbit hole went straight like tunnel way dipped suddenly suddenly moment think stopping found falling deep well,0
5,either well deep fell slowly plenty time went look wonder going happen next first tried look make coming dark see anything looked sides well noticed filled cupboards book shelves saw maps pictures hung upon took jar one shelves passed labelled orange great disappointment empty like drop jar fear killing somebody underneath managed put one cupboards fell past,0
6,well thought fall shall think nothing tumbling stairs brave theyll think home wouldnt say anything even fell top house likely true,0
7,would fall never come end wonder many miles ive fallen time said aloud must getting somewhere near centre earth let see would four thousand miles think see learnt several things sort lessons though good opportunity showing knowledge one listen still good practice say yes thats right distance wonder latitude longitude ive got idea latitude longitude either thought nice grand words say,0
8,presently began wonder shall fall right earth funny itll seem come among people walk heads downward think rather glad one listening time didnt sound right word shall ask name country know please maam new zealand australia tried spoke fancy youre falling air think could manage ignorant little girl shell think asking itll never ask perhaps shall see written somewhere,0
9,nothing else soon began talking dinahll miss much night think dinah cat hope theyll remember milk tea time dinah dear wish mice air im afraid might catch bat thats like mouse know cats eat bats wonder began get rather sleepy went saying dreamy sort way cats eat bats cats eat bats sometimes bats eat cats see couldnt answer either question didnt much matter way put felt dozing begun dream walking hand hand dinah saying earnestly dinah tell truth ever eat bat suddenly thump thump came upon heap sticks dry leaves fall,0
10,bit hurt jumped feet moment looked dark overhead another long passage white rabbit still sight hurrying moment lost away went like wind time hear say turned corner oh ears whiskers late getting close behind turned corner rabbit longer seen found long low hall lit row lamps hanging roof,0
11,doors round hall locked way one side trying every door walked sadly middle wondering ever get,0
